signal_date,horizon,mover,low_avol_return,high_avol_return,spread,n_low,n_high
2015-03-23,5,negative,0.0005920824127924996,0.002776624104885466,0.002184541692092966,214,215
2015-03-30,1,positive,-0.003761158456359363,-0.0029043023787661275,0.0008568560775932357,213,214
2015-03-30,1,negative,-0.000601481325581652,-0.0030017389199174884,-0.0024002575943358364,206,207
2015-03-26,3,positive,0.005799909654420767,0.003995106626840541,-0.001804803027580226,214,215
2015-03-26,3,negative,0.004630129739737144,0.007446971900742309,0.002816842161005165,214,214
2015-03-24,5,positive,-0.011691537687825484,-0.00312716005633387,0.008564377631491614,215,215
2015-03-24,5,negative,-0.011052083442943788,-0.009581813926651486,0.001470269516292302,214,215
2015-03-31,1,positive,0.0018152077327551269,-0.00224578037919402,-0.004060988111949147,214,213
2015-03-31,1,negative,0.002591016876249243,0.0051752880112640315,0.0025842711350147884,213,214
2015-03-27,3,positive,0.00024153290622468476,0.00799092183937723,0.007749388933152546,214,213
2015-03-27,3,negative,0.010278410232263741,0.01091673614458875,0.0006383259123250093,213,214
2015-03-25,5,positive,0.0009822110675458708,0.003727386996599406,0.0027451759290535354,213,215
2015-03-25,5,negative,0.006552205839173322,0.011854641845064715,0.005302436005891393,214,214
2015-04-01,1,positive,0.008923483624949087,0.006316885452955251,-0.0026065981719938357,214,215
2015-04-01,1,negative,0.00708145702863263,0.008097564100300124,0.0010161070716674936,214,214
2015-03-30,3,positive,0.001932215758159772,-0.0010257213263353514,-0.0029579370844951235,212,213
2015-03-30,3,negative,0.014455021398883574,0.011885272341718054,-0.0025697490571655202,206,207
2015-03-26,5,positive,0.014029997766678924,0.011947997915511384,-0.0020819998511675403,214,215
2015-03-26,5,negative,0.015546605998543355,0.017667843617397785,0.0021212376188544293,214,214
2015-04-02,1,positive,0.016945538862994835,0.01499032992359761,-0.001955208939397225,214,214
2015-04-02,1,negative,0.008505889855533109,0.0066978797568622035,-0.0018080100986709053,214,214
2015-03-31,3,positive,0.021149585530558204,0.009788877016503206,-0.011360708514054997,213,213
2015-03-31,3,negative,0.02349086767143552,0.022950324575782572,-0.0005405430956529483,213,213
2015-03-27,5,positive,0.01395517563272145,0.01938407241182564,0.005428896779104188,214,213
2015-03-27,5,negative,0.03943219941113399,0.03245663974580269,-0.006975559665331296,212,214
2015-04-06,1,positive,-0.00224083620962792,0.0005244532265704748,0.002765289436198395,214,214
2015-04-06,1,negative,-0.0025655665890994242,-0.001508289840633916,0.0010572767484655081,213,214
2015-04-01,3,positive,0.02794069222072051,0.01838359223650014,-0.009557099984220371,214,215
2015-04-01,3,negative,0.011701762619447172,0.009861634301955352,-0.0018401283174918192,214,214
2015-03-30,5,positive,0.008860556071136947,0.0020194888690874364,-0.006841067202049511,212,213
2015-03-30,5,negative,0.03016165980758643,0.026779080353854283,-0.0033825794537321457,206,207
2015-04-07,1,positive,0.001692014120970884,0.00039897362510303124,-0.001293040495867853,214,215
2015-04-07,1,negative,0.0033456339933086447,0.003186796716447819,-0.0001588372768608257,214,214
2015-04-02,3,positive,0.01809275679937831,0.018375961843367532,0.00028320504398922017,214,215
2015-04-02,3,negative,0.010341455564731303,0.006545325620770296,-0.003796129943961007,214,214
2015-03-31,5,positive,0.02788691654905926,0.010097278556900569,-0.017789637992158693,214,213
2015-03-31,5,negative,0.028201231524098987,0.0243155735318926,-0.003885657992206387,213,213
2015-04-08,1,positive,-0.001364838996778606,0.0002159899052674072,0.0015808289020460132,215,215
2015-04-08,1,negative,0.002657055134836268,0.004607615016619953,0.0019505598817836844,214,215
2015-04-06,3,positive,0.0007354440680593908,0.005631966332981573,0.004896522264922183,214,214
2015-04-06,3,negative,0.0002564254443233323,0.001353890183350974,0.0010974647390276416,213,214
2015-04-01,5,positive,0.031194536789019404,0.024354603088266674,-0.00683993370075273,214,215
2015-04-01,5,negative,0.01720746540000805,0.01514734229558834,-0.0020601231044197095,214,214
2015-04-09,1,positive,0.004451180254361245,0.0037670784393072834,-0.0006841018150539613,215,215
2015-04-09,1,negative,0.0031851222034969514,0.006874362560353246,0.0036892403568562944,215,215
2015-04-07,3,positive,0.00719145705582661,0.011729175560339622,0.004537718504513012,214,215
2015-04-07,3,negative,0.000776762058986184,0.0034102577665678425,0.0026334957075816586,214,214
